2023-09-18 10:55:04 194:  4681988867355502230,admin,執行刪除
2023-09-18 10:55:04 209:  5702963474719420186,admin,執行刪除
2023-09-18 10:55:07 254:  Camera:192.168.1.100_ABC5678
2023-09-18 10:55:07 373:  8,返回剩余车位数:60,判断结果:True
2023-09-18 10:55:07 384:  發送入口字幕機 : 入口相机_1_ABC5678_True_1_1_2023091810550738425
2023-09-18 10:55:07 384:  發送入口字幕機 TriggerType : 8
2023-09-18 10:55:07 384:  發送入口字幕機 noPlateOpenType : 2
2023-09-18 10:55:07 390:  ABC5678 => 有開門，新增進場紀錄，更新系統車位數
2023-09-18 10:55:07 499:  按照臨停月租數加減 : 原始 = 60 => 更新 = 59
2023-09-18 10:55:07 511:  总剩余车位数：59,类型：临停
2023-09-18 10:55:07 526:  Return:ABC5678_ok
2023-09-18 10:55:09 087:  Camera:192.168.1.100_ABC5678
2023-09-18 10:55:09 131:  8,返回剩余车位数:59,判断结果:True
2023-09-18 10:55:09 148:  發送入口字幕機 : 入口相机_1_ABC5678_True_1_1_2023091810550914813
2023-09-18 10:55:09 148:  發送入口字幕機 TriggerType : 4
2023-09-18 10:55:09 148:  發送入口字幕機 noPlateOpenType : 2
2023-09-18 10:55:09 149:  ABC5678,第二次识别开闸!!!
2023-09-18 10:55:09 150:  Return:ABC5678_ok
2023-09-18 10:55:12 246:  Camera:192.168.1.100_ABC5678
2023-09-18 10:55:12 298:  8,返回剩余车位数:59,判断结果:True
2023-09-18 10:55:12 314:  發送入口字幕機 : 入口相机_1_ABC5678_True_1_1_2023091810551231418
2023-09-18 10:55:12 314:  發送入口字幕機 TriggerType : 4
2023-09-18 10:55:12 314:  發送入口字幕機 noPlateOpenType : 2
2023-09-18 10:55:12 315:  ABC5678,第二次识别开闸!!!
2023-09-18 10:55:12 315:  Return:ABC5678_ok
2023-09-18 10:55:27 864:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:27 908:  ABC5678,计费处理
2023-09-18 10:55:27 927:  ABC5678 => RecognizeType = 8
2023-09-18 10:55:27 927:  ABC5678 => 並非無車牌
2023-09-18 10:55:27 928:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:55:27 928:  ABC5678 => 通道 : 2
2023-09-18 10:55:27 929:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:55:27 941:  ABC5678匹配到進場紀錄
2023-09-18 10:55:28 050:  ABC5678 = openFlag =>　True
2023-09-18 10:55:28 050:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:55:28 051:  发送内容:出口相机_192.168.1.194_888_ABC5678_0_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:55:27_2_出口_55bb95855a08420ba25566e8bb8cb98f_1__8011_True_/Images/Licences/2023918/e5cee13854a047f6883a0a046294c9a320230918105588.jpg_1_4892974923087663920_2023091810552805061
2023-09-18 10:55:28 051:  Return:ABC5678_ok
2023-09-18 10:55:34 501:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:34 541:  ABC5678,计费处理
2023-09-18 10:55:34 542:  ABC5678 => RecognizeType = 4
2023-09-18 10:55:34 542:  Return:ABC5678_No
2023-09-18 10:55:38 362:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:38 428:  ABC5678,计费处理
2023-09-18 10:55:38 429:  ABC5678 => RecognizeType = 4
2023-09-18 10:55:38 429:  Return:ABC5678_No
2023-09-18 10:55:45 179:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:45 229:  ABC5678,计费处理
2023-09-18 10:55:45 230:  ABC5678 => RecognizeType = 8
2023-09-18 10:55:45 230:  ABC5678 => 並非無車牌
2023-09-18 10:55:45 230:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:55:45 230:  ABC5678 => 通道 : 2
2023-09-18 10:55:45 231:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:55:45 239:  ABC5678匹配到進場紀錄
2023-09-18 10:55:45 293:  ABC5678 = openFlag =>　True
2023-09-18 10:55:45 294:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:55:45 294:  发送内容:出口相机_192.168.1.194_888_ABC5678_0_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:55:45_2_出口_46010632aadd47958e7dcedc54c14810_1__8011_True_/Images/Licences/2023918/2ea52beef2e3405685b4a8ae89a9ba3120230918105520.jpg_1_4892974923087663920_2023091810554529443
2023-09-18 10:55:45 296:  Return:ABC5678_ok
2023-09-18 10:55:46 695:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:46 743:  ABC5678,计费处理
2023-09-18 10:55:46 743:  ABC5678 => RecognizeType = 4
2023-09-18 10:55:46 744:  Return:ABC5678_No
2023-09-18 10:55:56 913:  Camera:192.168.1.101_ABC5678
2023-09-18 10:55:56 956:  ABC5678,计费处理
2023-09-18 10:55:56 956:  ABC5678 => RecognizeType = 8
2023-09-18 10:55:56 956:  ABC5678 => 並非無車牌
2023-09-18 10:55:56 957:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:55:56 957:  ABC5678 => 通道 : 2
2023-09-18 10:55:56 958:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:55:56 962:  ABC5678匹配到進場紀錄
2023-09-18 10:55:57 008:  ABC5678 = openFlag =>　True
2023-09-18 10:55:57 009:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:55:57 009:  发送内容:出口相机_192.168.1.194_888_ABC5678_0_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:55:56_2_出口_eaa2c16696834f57aefc56b0786fa89e_1__8011_True_/Images/Licences/2023918/9f2b92b54ccf401cbf138212495bdb3e20230918105593.jpg_1_4892974923087663920_2023091810555700965
2023-09-18 10:55:57 011:  Return:ABC5678_ok
2023-09-18 10:56:00 162:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:00 207:  ABC5678,计费处理
2023-09-18 10:56:00 208:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:00 208:  Return:ABC5678_No
2023-09-18 10:56:04 739:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:04 787:  ABC5678,计费处理
2023-09-18 10:56:04 788:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:04 788:  Return:ABC5678_No
2023-09-18 10:56:07 873:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:07 927:  ABC5678,计费处理
2023-09-18 10:56:07 927:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:07 928:  Return:ABC5678_No
2023-09-18 10:56:11 384:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:11 431:  ABC5678,计费处理
2023-09-18 10:56:11 431:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:11 431:  Return:ABC5678_No
2023-09-18 10:56:23 293:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:23 339:  ABC5678,计费处理
2023-09-18 10:56:23 340:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:23 340:  ABC5678 => 並非無車牌
2023-09-18 10:56:23 340:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:23 340:  ABC5678 => 通道 : 2
2023-09-18 10:56:23 341:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:23 349:  ABC5678匹配到進場紀錄
2023-09-18 10:56:23 424:  ABC5678 = openFlag =>　False
2023-09-18 10:56:23 424:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:23 446:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:23_2_出口_a6a1a79340dc476fb1bb0d5b5364feec_1__8011_False_/Images/Licences/2023918/a333412078824ffbb64d37bbcff33e1c20230918105632.jpg_1_4892974923087663920_2023091810562344613
2023-09-18 10:56:23 447:  Return:ABC5678_No
2023-09-18 10:56:24 818:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:24 878:  ABC5678,计费处理
2023-09-18 10:56:24 878:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:24 879:  Return:ABC5678_No
2023-09-18 10:56:26 542:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:26 595:  ABC5678,计费处理
2023-09-18 10:56:26 595:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:26 595:  ABC5678 => 並非無車牌
