2023-09-21 19:17:40 551:  Camera:192.168.1.101_RBP6
2023-09-21 19:17:41 327:  Return:RBP6_No
2023-09-21 19:21:57 099:  Camera:192.168.1.101_A02PN6
2023-09-21 19:21:57 161:  Return:A02PN6_No
2023-09-21 19:22:32 554:  Camera:192.168.1.101_2K4F
2023-09-21 19:22:32 619:  Return:2K4F_No
2023-09-21 19:23:48 311:  Camera:192.168.1.101_AAEM
2023-09-21 19:23:48 375:  Return:AAEM_No
2023-09-21 19:24:54 837:  Camera:192.168.1.101_VABMMM
2023-09-21 19:24:54 894:  Return:VABMMM_No
2023-09-21 19:25:19 269:  Camera:192.168.1.101_WTBMMF
2023-09-21 19:25:19 327:  Return:WTBMMF_No
2023-09-21 19:29:14 666:  Camera:192.168.1.101_A0EMR85
2023-09-21 19:29:14 729:  Return:A0EMR85_No
2023-09-21 19:29:54 484:  Camera:192.168.1.101_ABF
2023-09-21 19:29:54 538:  Return:ABF_No
2023-09-21 19:30:38 871:  Camera:192.168.1.101_KA01
2023-09-21 19:30:38 950:  Return:KA01_No
2023-09-21 19:48:11 515:  Camera:192.168.1.101_TBBMA11
2023-09-21 19:48:11 580:  Return:TBBMA11_No
2023-09-21 19:55:58 019:  Camera:192.168.1.101_AABM8E
2023-09-21 19:55:58 078:  Return:AABM8E_No
